index,date,total
238,9/17/20,30464616
239,9/18/20,30785235
240,9/19/20,31097122
241,9/20/20,31425225
242,9/21/20,31719726
243,9/22/20,31973218
244,9/23/20,32254880
245,9/24/20,32581226
246,9/25/20,32896226
247,9/26/20,33208179
248,9/27/20,33529990
249,9/28/20,33821980
250,9/29/20,34074247
251,9/30/20,34361337
252,10/1/20,34691438
253,10/2/20,35021389
254,10/3/20,35341640
255,10/4/20,35671867
256,10/5/20,35982276
257,10/6/20,36251081
258,10/7/20,36570997
259,10/8/20,36946487
260,10/9/20,37303886
261,10/10/20,37662455
262,10/11/20,38043686
263,10/12/20,38381187
264,10/13/20,38689742
265,10/14/20,39044078
266,10/15/20,39428350
267,10/16/20,39826360
268,10/17/20,40218587
269,10/18/20,40653562
270,10/19/20,41034497
271,10/20/20,41388341
272,10/21/20,41828995
273,10/22/20,42311251
274,10/23/20,42784868
275,10/24/20,43246841
276,10/25/20,43764165
277,10/26/20,44222457
278,10/27/20,44632086
279,10/28/20,45138821
280,10/29/20,45686246
281,10/30/20,46217261
282,10/31/20,46736675
283,11/1/20,47301338
284,11/2/20,47790297
285,11/3/20,48299035
286,11/4/20,48826608
287,11/5/20,49398298
288,11/6/20,49977221
289,11/7/20,50550074
290,11/8/20,51143493
291,11/9/20,51670233
292,11/10/20,52123532
293,11/11/20,52692968
294,11/12/20,53310107
295,11/13/20,53942934
296,11/14/20,54560234
297,11/15/20,55176916
298,11/16/20,55722142
299,11/17/20,56210384
300,11/18/20,56768501
301,11/19/20,57398048
302,11/20/20,58027412
303,11/21/20,58655033
304,11/22/20,59280600
305,11/23/20,59819680
306,11/24/20,60308758
307,11/25/20,60867042
308,11/26/20,61475555
309,11/27/20,62135134
310,11/28/20,62722269
311,11/29/20,63306703
312,11/30/20,63830809
313,12/1/20,64321944
314,12/2/20,64874526
315,12/3/20,65522608
316,12/4/20,66193477
317,12/5/20,66856816
318,12/6/20,67507400
319,12/7/20,68074878
320,12/8/20,68599077
321,12/9/20,69185894
322,12/10/20,69868009
323,12/11/20,70549430
324,12/12/20,71208620
325,12/13/20,71893071
326,12/14/20,72477690
327,12/15/20,73004990
328,12/16/20,73633252
329,12/17/20,74301892
330,12/18/20,75033355
331,12/19/20,75753748
332,12/20/20,76429776
333,12/21/20,77012302
334,12/22/20,77556987
335,12/23/20,78165202
336,12/24/20,78838223
337,12/25/20,79500635
338,12/26/20,80095078
339,12/27/20,80554009
340,12/28/20,81012917
341,12/29/20,81520733
342,12/30/20,82118227
343,12/31/20,82852766
344,1/1/21,83596976
345,1/2/21,84237280
346,1/3/21,84792137
347,1/4/21,85367433
348,1/5/21,85955516
349,1/6/21,86619815
350,1/7/21,87413835
351,1/8/21,88189027
352,1/9/21,88988650
353,1/10/21,89771559
354,1/11/21,90447334
355,1/12/21,91056799
356,1/13/21,91722828
357,1/14/21,92461086
358,1/15/21,93183363
359,1/16/21,93888597
360,1/17/21,94608368
361,1/18/21,95212466
362,1/19/21,95749283
363,1/20/21,96322625
364,1/21/21,96952973
365,1/22/21,97606402
366,1/23/21,98220582
367,1/24/21,98837147
368,1/25/21,99360378
369,1/26/21,99803736
370,1/27/21,100322692
371,1/28/21,100905879
372,1/29/21,101490755
373,1/30/21,102040866
374,1/31/21,102589300
375,2/1/21,103048112
376,2/2/21,103432593
377,2/3/21,103882365
378,2/4/21,104381563
379,2/5/21,104853179
380,2/6/21,105318940
381,2/7/21,105769926
